loop_index,last_step_ns,imu_time_ns,bmp_time_ns,epoch_time_ns,v_batt,alt_bmp_raw,bmp_temp,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,mag_X, mag_Y, mag_Z,roll,pitch,yaw,rollDot,pitchDot,yawDot,X,Y,Z,Xdot,Ydot,Zdot,Zddot,xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,xbee_roll,xbee_pitch,xbee_yaw,gps_lat,gps_lon,gps_gpsAlt,gps_ned_x,gps_ned_y,gps_ned_z,gps_spd,gps_fix,gps_sat,gps_headingNc,gps_cog,gps_gpsVsi,gps_hdop,gps_vdop,gps_year,gps_month,gps_day,gps_hour,gps_minute,gps_second,gps_time_received_ns,X_thrt,Y_thrt,Z_thrt,roll_thrt,pitch_thrt,yaw_thrt,sp_roll_dot,sp_pitch_dot,sp_yaw_dot,sp_roll_dot_ff,sp_pitch_dot_ff,sp_yaw_dot_ff,sp_roll,sp_pitch,sp_yaw,sp_roll_ff,sp_pitch_ff,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,sp_Xdot_ff,sp_Ydot_ff,sp_Zdot_ff,sp_Xddot,sp_Yddot,sp_Zddot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,dsm_con,flight_mode,tIMU,tIMU_END,tSM,tXBEE,tGPS,tPNI,tNAV,tGUI,tCTR,tLOG,tNTP
1,1749741145548952846,1749741145547200973,1749741145547200973,1749741145548957429,16.3420,561.6354,33.9200,0.0128,-0.0149,0.0075,-0.4981,0.0837,-9.4980,0.0000,0.0000,0.0000,0.0601,-0.1288,0.0186,0.0124,-0.0148,0.0071,-0.0591,-1.7883,-0.1011,0.0001,-0.0001,0.0001,0.0000,324234494,1749741145547477001,-0.0591,-1.7883,-0.1011,0.9999,0.0057,-0.0019,0.0093,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0500,0.2072,0.2072,0.2072,0.2072,1,5,1749741145547205848,1749741145542787023,1749741145547502167,1749741145547485126,1749741145547513000,1749741145547514958,1749741145547826068,1749741145548920180,1749741145548954012,1749741145542785190,0
2,1749741145552962690,1749741145552526712,1749741145552526712,1749741145552967773,16.3418,561.6354,33.9200,0.0107,-0.0128,0.0043,-0.4862,0.0598,-9.5409,0.0000,0.0000,0.0000,0.0601,-0.1287,0.0186,0.0118,-0.0141,0.0062,-0.0591,-1.7883,-0.1011,0.0001,-0.0001,0.0001,0.0000,324234494,1749741145547477001,-0.0591,-1.7883,-0.1011,0.9999,0.0057,-0.0019,0.0093,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0500,0.2072,0.2072,0.2072,0.2072,1,5,1749741145552531545,1749741145548971970,1749741145552586334,1749741145552572959,1749741145552596958,1749741145552598583,1749741145552923234,1749741145552928858,1749741145552963898,1749741145548970220,0
3,1749741145558302636,1749741145557641210,1749741145557641210,1749741145558307719,16.3415,561.6354,33.9200,0.0128,-0.0138,0.0043,-0.4622,0.0933,-9.5004,0.0000,0.0000,0.0000,0.0601,-0.1287,0.0186,0.0122,-0.0140,0.0055,-0.0591,-1.7882,-0.1011,0.0001,0.0000,0.0000,0.0000,324242842,1749741145557831701,-0.0591,-1.7882,-0.1011,0.9999,0.0057,-0.0019,0.0093,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0500,0.2072,0.2072,0.2072,0.2072,1,5,1749741145557645668,1749741145552982023,1749741145557857533,1749741145557839909,1749741145557869366,1749741145557871157,1749741145558263346,1749741145558269138,1749741145558303844,1749741145552979939,0
4,1749741145563189813,1749741145562522095,1749741145562522095,1749741145563194479,16.3418,561.6354,33.9200,0.0117,-0.0138,0.0064,-0.4550,0.1220,-9.4407,0.0000,0.0000,0.0000,0.0601,-0.1287,0.0186,0.0120,-0.0140,0.0058,-0.0591,-1.7883,-0.1011,0.0000,-0.0001,0.0002,0.0000,324251397,1749741145562794082,-0.0591,-1.7883,-0.1011,0.9999,0.0057,-0.0019,0.0093,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0500,0.2072,0.2072,0.2072,0.2072,1,5,1749741145562526512,1749741145558322385,1749741145562817706,1749741145562802207,1749741145562828414,1749741145562830164,1749741145563150731,1749741145563156398,1749741145563190979,1749741145558320510,0
5,1749741145567717424,1749741145567266946,1749741145567266946,1749741145567722132,16.3415,561.6354,33.9200,0.0107,-0.0170,0.0075,-0.5149,0.0574,-9.4694,0.0000,0.0000,0.0000,0.0601,-0.1288,0.0186,0.0116,-0.0150,0.0064,-0.0591,-1.7883,-0.1011,0.0000,-0.0001,0.0002,0.0000,324251397,1749741145562794082,-0.0591,-1.7883,-0.1011,0.9999,0.0057,-0.0019,0.0093,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0500,0.2072,0.2072,0.2072,0.2072,1,5,1749741145567271904,1749741145563208603,1749741145567322860,1749741145567309777,1749741145567333526,1749741145567335151,1749741145567678175,1749741145567684175,1749741145567718590,1749741145563206562,0
6,1749741145572851380,1749741145572260367,1749741145572260367,1749741145572856129,16.3360,561.6354,33.9200,0.0117,-0.0160,0.0075,-0.4862,0.0646,-9.4598,0.0000,0.0000,0.0000,0.0601,-0.1288,0.0188,0.0116,-0.0153,0.0067,-0.0590,-1.7882,-0.1011,0.0004,0.0000,0.0001,0.0000,324259441,1749741145572452066,-0.0590,-1.7882,-0.1011,0.9999,0.0058,-0.0019,0.0094,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0500,0.2072,0.2072,0.2072,0.2072,1,5,1749741145572264825,1749741145567737131,1749741145572477731,1749741145572460149,1749741145572489606,1749741145572491356,1749741145572812048,1749741145572817715,1749741145572852588,1749741145567735214,0
7,1749741145577355242,1749741145576945928,1749741145576945928,1749741145577359908,16.3282,561.6354,33.9200,0.0085,-0.0128,0.0032,-0.0599,0.4331,-9.2379,0.0000,0.0000,0.0000,0.0601,-0.1288,0.0188,0.0106,-0.0145,0.0056,-0.0590,-1.7882,-0.1011,0.0004,0.0000,0.0001,0.0000,324259441,1749741145572452066,-0.0590,-1.7882,-0.1011,0.9999,0.0058,-0.0019,0.0094,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0500,0.2072,0.2072,0.2072,0.2072,1,5,1749741145576948928,1749741145572870462,1749741145576985468,1749741145576972219,1749741145576996259,1749741145576998009,1749741145577317410,1749741145577323118,1749741145577356408,1749741145572868587,0
8,1749741145582986840,1749741145582394994,1749741145582394994,1749741145582991506,16.3212,561.6354,33.9200,0.0277,-0.0149,0.0128,-1.0729,0.6269,-8.4625,0.0000,0.0000,0.0000,0.0601,-0.1287,0.0186,0.0163,-0.0146,0.0080,-0.0591,-1.7882,-0.1011,0.0000,-0.0000,0.0002,0.0000,324267419,1749741145582586110,-0.0591,-1.7882,-0.1011,0.9999,0.0057,-0.0019,0.0093,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0500,0.2072,0.2072,0.2072,0.2072,1,5,1749741145582399369,1749741145577375991,1749741145582612358,1749741145582594359,1749741145582624316,1749741145582626108,1749741145582947342,1749741145582953425,1749741145582988048,1749741145577373866,0
9,1749741145587738690,1749741145587151885,1749741145587151885,1749741145587743356,16.3094,561.7230,33.9200,0.0128,-0.0213,0.0107,-0.9819,0.5694,-8.6081,0.0000,0.0000,0.0000,0.0601,-0.1288,0.0186,0.0151,-0.0169,0.0089,-0.0591,-1.7882,-0.1011,0.0000,-0.0001,0.0001,0.0000,324276112,1749741145587338043,-0.0591,-1.7882,-0.1011,0.9999,0.0057,-0.0019,0.0093,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0500,0.2072,0.2072,0.2072,0.2072,1,5,1749741145587156385,1749741145583379904,1749741145587363791,1749741145587346542,1749741145587375249,1749741145587377041,1749741145587698692,1749741145587704858,1749741145587739856,1749741145583005297,0
10,1749741145593092385,1749741145592657281,1749741145592657281,1749741145593097426,16.2978,561.7230,33.9200,0.0011,-0.0096,0.0149,-0.5197,0.5670,-7.7611,0.0000,0.0000,0.0000,0.0600,-0.1289,0.0186,0.0104,-0.0144,0.0109,-0.0591,-1.7882,-0.1011,0.0000,-0.0001,0.0001,0.0000,324276112,1749741145587338043,-0.0591,-1.7882,-0.1011,0.9999,0.0057,-0.0019,0.0093,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0500,0.2072,0.2072,0.2072,0.2072,1,5,1749741145592662198,1749741145587757897,1749741145592716695,1749741145592703362,1749741145592727528,1749741145592729236,1749741145593052512,1749741145593058720,1749741145593093593,1749741145587755981,0
