loop_index,last_step_ns,imu_time_ns,bmp_time_ns,epoch_time_ns,v_batt,alt_bmp_raw,bmp_temp,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,mag_X, mag_Y, mag_Z,roll,pitch,yaw,rollDot,pitchDot,yawDot,X,Y,Z,Xdot,Ydot,Zdot,Zddot,xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,xbee_roll,xbee_pitch,xbee_yaw,gps_lat,gps_lon,gps_gpsAlt,gps_ned_x,gps_ned_y,gps_ned_z,gps_spd,gps_fix,gps_sat,gps_headingNc,gps_cog,gps_gpsVsi,gps_hdop,gps_vdop,gps_year,gps_month,gps_day,gps_hour,gps_minute,gps_second,gps_time_received_ns,X_thrt,Y_thrt,Z_thrt,roll_thrt,pitch_thrt,yaw_thrt,sp_roll_dot,sp_pitch_dot,sp_yaw_dot,sp_roll_dot_ff,sp_pitch_dot_ff,sp_yaw_dot_ff,sp_roll,sp_pitch,sp_yaw,sp_roll_ff,sp_pitch_ff,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,sp_Xdot_ff,sp_Ydot_ff,sp_Zdot_ff,sp_Xddot,sp_Yddot,sp_Zddot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,dsm_con,flight_mode,tIMU,tIMU_END,tSM,tXBEE,tGPS,tPNI,tNAV,tGUI,tCTR,tLOG,tNTP
11,1749740678001326116,1749740678000742754,1749740678000742754,1749740678001331157,16.4131,560.8715,33.8000,0.0138,-0.0394,0.0107,-0.7400,0.9355,-9.2403,0.0000,0.0000,0.0000,0.0679,-0.1416,0.0917,0.0174,-0.0221,-0.0037,0.0223,0.0764,-0.1046,-0.0000,-0.0001,0.0000,0.0000,4151631447,1749740678000926682,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740678000747336,1749740677996021326,1749740678000951803,1749740678000934597,1749740678000963551,1749740678000965342,1749740678001286789,1749740678001293038,1749740678001327365,1749740677996019410,0
12,1749740678006518466,1749740678005840244,1749740678005840244,1749740678006523132,16.4044,560.8715,33.8000,0.0128,-0.0341,0.0288,-1.6405,0.3134,-7.3531,0.0000,0.0000,0.0000,0.0678,-0.1418,0.0917,0.0158,-0.0261,0.0071,0.0223,0.0764,-0.1046,-0.0001,0.0000,-0.0001,0.0000,4151638721,1749740678006030504,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740678005845160,1749740678001346654,1749740678006056417,1749740678006038711,1749740678006068123,1749740678006069914,1749740678006478889,1749740678006484971,1749740678006519632,1749740678001344821,0
13,1749740678011352048,1749740678010917661,1749740678010917661,1749740678011357172,16.3887,560.8715,33.8000,-0.0224,-0.0021,0.0138,-0.1030,0.3541,-8.4244,0.0000,0.0000,0.0000,0.0676,-0.1418,0.0917,0.0031,-0.0181,0.0094,0.0223,0.0764,-0.1046,-0.0001,0.0000,-0.0001,0.0000,4151638721,1749740678006030504,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740678010922118,1749740678006539087,1749740678010977151,1749740678010964153,1749740678010988441,1749740678010990315,1749740678011312679,1749740678011318595,1749740678011353256,1749740678006537129,0
14,1749740678016560566,1749740678015970746,1749740678015970746,1749740678016565273,16.3730,560.8715,33.8000,0.0128,-0.0202,0.0788,-0.5149,0.3326,-8.2025,0.0000,0.0000,0.0000,0.0675,-0.1419,0.0917,0.0063,-0.0188,0.0325,0.0223,0.0764,-0.1046,-0.0001,-0.0001,-0.0001,0.0000,4151647552,1749740678016160548,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740678015975204,1749740678011372711,1749740678016186669,1749740678016168797,1749740678016198042,1749740678016200042,1749740678016521031,1749740678016526946,1749740678016561774,1749740678011370336,0
15,1749740678021517667,1749740678021042246,1749740678021042246,1749740678021522375,16.3602,560.8715,33.8000,0.0405,-0.0021,0.0415,0.6514,1.2920,-9.8845,0.0000,0.0000,0.0000,0.0676,-0.1418,0.0917,0.0177,-0.0132,0.0355,0.0223,0.0764,-0.1046,-0.0001,-0.0001,-0.0001,0.0000,4151647552,1749740678016160548,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740678021046703,1749740678016580104,1749740678021139188,1749740678021126607,1749740678021151186,1749740678021153019,1749740678021478424,1749740678021484340,1749740678021518876,1749740678016578146,0
16,1749740678026179692,1749740678025542297,1749740678025542297,1749740678026185525,16.3488,560.8715,33.8000,0.0107,-0.0394,0.0714,-0.1317,0.6197,-10.0229,0.0000,0.0000,0.0000,0.0674,-0.1418,0.0916,0.0154,-0.0220,0.0475,0.0223,0.0764,-0.1046,-0.0001,0.0000,-0.0000,0.0000,4151655099,1749740678025694814,0.0223,0.0764,-0.1046,0.9990,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740678025546755,1749740678022273002,1749740678025720934,1749740678025702771,1749740678025732641,1749740678025734391,1749740678026054171,1749740678026060879,1749740678026181900,1749740678021534998,0
17,1749740678031349259,1749740678030849549,1749740678030849549,1749740678031353966,16.3372,560.8715,33.8000,0.0011,-0.0277,0.0107,-1.1543,0.0479,-8.4530,0.0000,0.0000,0.0000,0.0673,-0.1419,0.0916,0.0106,-0.0239,0.0352,0.0223,0.0764,-0.1046,-0.0001,0.0000,-0.0000,0.0000,4151655099,1749740678025694814,0.0223,0.0764,-0.1046,0.9990,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740678030854090,1749740678026200439,1749740678030967655,1749740678030954865,1749740678030979403,1749740678030981236,1749740678031309057,1749740678031315639,1749740678031350425,1749740678026198648,0
18,1749740678036704795,1749740678036172007,1749740678036172007,1749740678036709419,16.3280,560.8715,33.8000,-0.0149,-0.0213,0.0501,-1.1064,1.5624,-8.7083,0.0000,0.0000,0.0000,0.0672,-0.1420,0.0914,0.0021,-0.0230,0.0402,0.0223,0.0764,-0.1046,-0.0002,0.0000,0.0001,0.0000,4151663858,1749740678036302111,0.0223,0.0764,-0.1046,0.9990,0.0008,-0.0008,0.0457,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740678036176382,1749740678031370089,1749740678036327482,1749740678036310193,1749740678036338896,1749740678036340646,1749740678036665134,1749740678036671675,1749740678036705961,1749740678031367756,0
19,1749740678041149647,1749740678040571575,1749740678040571575,1749740678041154354,16.3198,560.8715,33.8000,0.0000,0.0043,0.0437,-0.2658,-0.4307,-7.4223,0.0000,0.0000,0.0000,0.0669,-0.1419,0.0915,0.0014,-0.0139,0.0413,0.0223,0.0764,-0.1045,-0.0005,-0.0002,0.0006,0.0000,4151672247,1749740678040754212,0.0223,0.0764,-0.1045,0.9990,0.0008,-0.0007,0.0457,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740678040576075,1749740678036724250,1749740678040779791,1749740678040762086,1749740678040791997,1749740678040793747,1749740678041111653,1749740678041117694,1749740678041150855,1749740678036722250,0
20,1749740678046360332,1749740678045887993,1749740678045887993,1749740678046365456,16.3111,560.8715,33.8000,0.0170,0.0043,0.0149,-0.0503,-0.6771,-9.9083,0.0000,0.0000,0.0000,0.0670,-0.1418,0.0915,0.0066,-0.0079,0.0325,0.0223,0.0764,-0.1045,-0.0005,-0.0002,0.0006,0.0000,4151672247,1749740678040754212,0.0223,0.0764,-0.1045,0.9990,0.0008,-0.0007,0.0457,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740678045893117,1749740678041169185,1749740678045941650,1749740678045929069,1749740678045953315,1749740678045955107,1749740678046321546,1749740678046327545,1749740678046361540,1749740678041167269,0
