tick,wall_time_unix,wall_time_iso,dt_since_start_s,running,pipeline_fps,frames_processed,detections_total,tracks_active,valid_states_cum,invalid_states_cum,latency_total_ms,latency_detect_ms,latency_track_ms,latency_validate_fuse_ms,tracks_kalman,tracks_ukf,tracks_pf,tracks_adaptive
0,1776986198.6294696,2026-04-23T23:16:38.629470Z,0.18121814727783203,True,25.060757511215332,25950,858,0,4164,85,32.73810300743207,32.65685201040469,0.06054599361959845,0.020705003407783806,0,0,0,0
1,1776986198.8265216,2026-04-23T23:16:38.826522Z,0.37827014923095703,True,25.060757511215332,25955,858,0,4164,85,35.719332008739,35.639169000205584,0.0592030119150877,0.02095999661833048,0,0,0,0
2,1776986199.0341105,2026-04-23T23:16:39.034111Z,0.5858590602874756,True,24.728798861779453,25960,858,0,4164,85,31.399750005220994,31.3060820044484,0.07059500785544515,0.02307299291715026,0,0,0,0
3,1776986199.2321093,2026-04-23T23:16:39.232109Z,0.7838578224182129,True,24.728798861779453,25965,858,0,4164,85,32.17052901163697,32.09270200750325,0.06022599700372666,0.017601007129997015,0,0,0,0
4,1776986199.4458497,2026-04-23T23:16:39.445850Z,0.9975981712341309,True,24.728798861779453,25970,858,0,4164,85,31.965465997927822,31.89087100327015,0.05689800309482962,0.017696991562843323,0,0,0,0
5,1776986199.6348996,2026-04-23T23:16:39.634900Z,1.1866481304168701,True,24.728798861779453,25974,858,0,4164,85,32.515501996385865,32.43988299800549,0.05856200004927814,0.01705699833109975,0,0,0,0
6,1776986199.834472,2026-04-23T23:16:39.834472Z,1.3862204551696777,True,24.728798861779453,25979,858,0,4164,85,32.75903100438882,32.690292995539494,0.05299400072544813,0.015744008123874664,0,0,0,0
7,1776986200.0363562,2026-04-23T23:16:40.036356Z,1.5881047248840332,True,24.728798861779453,25984,858,0,4164,85,31.055993007612415,30.98264599975664,0.054818010539747775,0.018528997316025198,0,0,0,0
8,1776986200.4776156,2026-04-23T23:16:40.477616Z,2.0293641090393066,True,24.728798861779453,25989,858,0,4164,85,32.9892149893567,32.906523993005976,0.06192200817167759,0.020768988179042935,0,0,0,0
9,1776986200.7396336,2026-04-23T23:16:40.739634Z,2.291382074356079,True,24.728798861779453,25995,858,0,4164,85,34.91555800428614,34.839300002204254,0.05929799226578325,0.016960009816102684,0,0,0,0
10,1776986200.9339504,2026-04-23T23:16:40.933950Z,2.485698938369751,True,24.728798861779453,26000,858,0,4164,85,32.85349799261894,32.77128699119203,0.06115400174167007,0.021056999685242772,0,0,0,0
11,1776986201.127209,2026-04-23T23:16:41.127209Z,2.678957462310791,True,20.92585430532489,26004,858,0,4164,85,30.320892998133786,30.227032999391668,0.07417899905703962,0.01968099968507886,0,0,0,0
12,1776986201.332185,2026-04-23T23:16:41.332185Z,2.8839335441589355,True,20.92585430532489,26009,858,0,4164,85,34.507415010011755,34.42434000317007,0.06352300988510251,0.019551996956579387,0,0,0,0
13,1776986201.5404599,2026-04-23T23:16:41.540460Z,3.0922083854675293,True,20.92585430532489,26014,858,0,4164,85,35.57794999505859,35.496314987540245,0.061570011894218624,0.020064995624125004,0,0,0,0
14,1776986201.7297316,2026-04-23T23:16:41.729732Z,3.281480073928833,True,20.92585430532489,26019,858,0,4164,85,33.600758004467934,33.52613099559676,0.05497800884768367,0.01964900002349168,0,0,0,0
15,1776986201.9242928,2026-04-23T23:16:41.924293Z,3.476041316986084,True,20.92585430532489,26023,858,0,4164,85,32.53956699336413,32.461451992276125,0.05760199564974755,0.020513005438260734,0,0,0,0
16,1776986202.128381,2026-04-23T23:16:42.128381Z,3.6801295280456543,True,20.92585430532489,26028,858,0,4164,85,31.66039800271392,31.58196300501004,0.059906000387854874,0.018528997316025198,0,0,0,0
17,1776986202.3303502,2026-04-23T23:16:42.330350Z,3.88209867477417,True,20.92585430532489,26033,858,0,4164,85,34.35797001293395,34.28555100981612,0.052193994633853436,0.020225008483976126,0,0,0,0
18,1776986202.543779,2026-04-23T23:16:42.543779Z,4.095527410507202,True,20.92585430532489,26038,858,0,4164,85,34.54642399447039,34.457332993042655,0.06742600817233324,0.021664993255399168,0,0,0,0
19,1776986202.7424095,2026-04-23T23:16:42.742409Z,4.294157981872559,True,20.92585430532489,26043,858,0,4164,85,31.341378009528853,31.271647007088177,0.05305800004862249,0.016673002392053604,0,0,0,0
20,1776986202.9438035,2026-04-23T23:16:42.943804Z,4.495552062988281,True,20.92585430532489,26048,858,0,4164,85,32.815320999361575,32.73858199827373,0.0567379902349785,0.020001010852865875,0,0,0,0
21,1776986203.1484807,2026-04-23T23:16:43.148481Z,4.700229167938232,True,23.99568378468848,26053,858,0,4164,85,30.09822900639847,30.021842001588084,0.058721998357214034,0.017665006453171372,0,0,0,0
22,1776986203.4305673,2026-04-23T23:16:43.430567Z,4.9823157787323,True,23.99568378468848,26060,858,0,4164,85,32.05884499766398,31.985977999283932,0.05488200986292213,0.01798498851712793,0,0,0,0
23,1776986203.641122,2026-04-23T23:16:43.641122Z,5.192870616912842,True,23.99568378468848,26065,858,0,4164,85,34.024676991975866,33.949441989534535,0.05760201020166278,0.017632992239668965,0,0,0,0
24,1776986203.8301454,2026-04-23T23:16:43.830145Z,5.381893873214722,True,23.99568378468848,26069,858,0,4164,85,34.68057299323846,34.60284200264141,0.05792199226561934,0.019808998331427574,0,0,0,0
25,1776986204.0526285,2026-04-23T23:16:44.052629Z,5.604377031326294,True,23.99568378468848,26075,858,0,4164,85,32.58446398831438,32.516301987925544,0.0505940115544945,0.01756798883434385,0,0,0,0
26,1776986204.3361127,2026-04-23T23:16:44.336113Z,5.887861251831055,True,23.99568378468848,26081,858,0,4164,85,31.838484006584622,31.759250006871298,0.0578259932808578,0.02140800643246621,0,0,0,0
27,1776986204.535223,2026-04-23T23:16:44.535223Z,6.0869715213775635,True,23.99568378468848,26086,858,0,4164,85,33.260169002460316,33.17555801186245,0.06416199903469533,0.02044899156317115,0,0,0,0
28,1776986204.7323632,2026-04-23T23:16:44.732363Z,6.284111738204956,True,23.99568378468848,26091,858,0,4164,85,31.23362999758683,31.111641001189128,0.10089999705087394,0.02108899934682995,0,0,0,0
29,1776986204.938512,2026-04-23T23:16:44.938512Z,6.490260601043701,True,23.99568378468848,26096,858,0,4164,85,32.12371100380551,32.048731998656876,0.056321994634345174,0.01865701051428914,0,0,0,0
30,1776986205.141565,2026-04-23T23:16:45.141565Z,6.6933135986328125,True,24.02327507628806,26100,858,0,4164,85,32.142815995030105,32.062749000033364,0.059394005802460015,0.0206729891942814,0,0,0,0
31,1776986205.3377106,2026-04-23T23:16:45.337711Z,6.889459133148193,True,24.02327507628806,26105,858,0,4164,85,33.64002300077118,33.55720400577411,0.06237000343389809,0.02044899156317115,0,0,0,0
32,1776986205.7668514,2026-04-23T23:16:45.766851Z,7.3185999393463135,True,24.02327507628806,26115,858,0,4164,85,32.72568499960471,32.64309000223875,0.062498991610482335,0.020096005755476654,0,0,0,0
33,1776986206.1035457,2026-04-23T23:16:46.103546Z,7.655294179916382,True,24.02327507628806,26124,858,0,4164,85,34.18778700870462,34.10708000592422,0.06000199937261641,0.020705003407783806,0,0,0,0
34,1776986206.357286,2026-04-23T23:16:46.357286Z,7.909034490585327,True,24.02327507628806,26129,858,0,4164,85,36.64150999975391,36.55843400338199,0.06144300277810544,0.02163299359381199,0,0,0,0
35,1776986206.663269,2026-04-23T23:16:46.663269Z,8.215017557144165,True,24.02327507628806,26136,861,4,4166,87,52.260932003264315,42.10526200768072,9.767847994226031,0.38782200135756284,1,1,1,1
36,1776986206.9665656,2026-04-23T23:16:46.966566Z,8.518314123153687,True,24.02327507628806,26141,866,4,4186,87,44.85611600102857,34.43157199944835,10.118613005033694,0.3059309965465218,1,1,1,1
37,1776986207.262048,2026-04-23T23:16:47.262048Z,8.813796520233154,True,21.986643322185294,26147,870,4,4210,87,42.62140899663791,33.236264003789984,9.089550992939621,0.2955939999083057,1,1,1,1
