tick,wall_time_unix,wall_time_iso,dt_since_start_s,raw_det_count,raw_x_px,raw_y_px,raw_conf,raw_depth_m,track_count,track_id,x,y,z,vx,vy,vz,pos_uncertainty,vel_uncertainty,confidence,frame,physics_plausible,physics_valid,filter_used_by_adaptive
0,1776985727.6024325,2026-04-23T23:08:47.602432Z,0.18183684349060059,0,,,,,0,,,,,,,,,,,,,,
1,1776985727.799391,2026-04-23T23:08:47.799391Z,0.3787953853607178,0,,,,,0,,,,,,,,,,,,,,
2,1776985728.0112803,2026-04-23T23:08:48.011280Z,0.5906846523284912,0,,,,,0,,,,,,,,,,,,,,
3,1776985728.1988108,2026-04-23T23:08:48.198811Z,0.7782151699066162,0,,,,,0,,,,,,,,,,,,,,
4,1776985728.406759,2026-04-23T23:08:48.406759Z,0.9861633777618408,0,,,,,0,,,,,,,,,,,,,,
5,1776985728.6071465,2026-04-23T23:08:48.607147Z,1.1865508556365967,0,,,,,0,,,,,,,,,,,,,,
6,1776985728.7963586,2026-04-23T23:08:48.796359Z,1.375762939453125,0,,,,,0,,,,,,,,,,,,,,
7,1776985729.010586,2026-04-23T23:08:49.010586Z,1.5899903774261475,0,,,,,0,,,,,,,,,,,,,,
8,1776985729.2042289,2026-04-23T23:08:49.204229Z,1.7836332321166992,0,,,,,0,,,,,,,,,,,,,,
9,1776985729.413023,2026-04-23T23:08:49.413023Z,1.9924273490905762,0,,,,,0,,,,,,,,,,,,,,
10,1776985729.6040013,2026-04-23T23:08:49.604001Z,2.183405637741089,0,,,,,0,,,,,,,,,,,,,,
11,1776985729.8062835,2026-04-23T23:08:49.806283Z,2.385687828063965,0,,,,,0,,,,,,,,,,,,,,
12,1776985730.0039961,2026-04-23T23:08:50.003996Z,2.5834004878997803,0,,,,,0,,,,,,,,,,,,,,
13,1776985730.2036998,2026-04-23T23:08:50.203700Z,2.783104181289673,0,,,,,0,,,,,,,,,,,,,,
14,1776985730.472523,2026-04-23T23:08:50.472523Z,3.051927328109741,0,,,,,0,,,,,,,,,,,,,,
15,1776985730.7403796,2026-04-23T23:08:50.740380Z,3.319783926010132,0,,,,,0,,,,,,,,,,,,,,
16,1776985731.037898,2026-04-23T23:08:51.037898Z,3.617302417755127,0,,,,,1,3,524.4582950245828,128.18467408919236,0.38863578581617575,0.06944899035912513,0.3739666866236545,-0.011925682814055791,,,0.8245726227760315,pixel_xy_metric_z,True,True,
17,1776985731.3479931,2026-04-23T23:08:51.347993Z,3.9273974895477295,1,510,175,0.7986264228820801,0.761,1,3,525.4112449240887,157.55644694153494,0.5781339339488226,-5.510739730170238,31.715897586507126,0.04133611203898221,,,0.8240130543708801,pixel_xy_metric_z,True,True,
18,1776985731.650554,2026-04-23T23:08:51.650554Z,4.2299582958221436,1,336,209,0.7921755909919739,1.072,2,4,350.47325041589175,205.058854919486,0.8293375278758277,-45.44396707589264,3.920200982234971,-0.014905782721996053,,,0.8110603094100952,pixel_xy_metric_z,True,True,
19,1776985732.0003247,2026-04-23T23:08:52.000325Z,4.579729080200195,1,241,229,0.7751931548118591,0.869,1,4,237.01570728612083,229.41468093573576,0.8967718061941718,-183.52258063520304,30.67486220596458,0.02953526712373552,,,0.8054550290107727,pixel_xy_metric_z,True,True,
20,1776985732.2111375,2026-04-23T23:08:52.211138Z,4.790541887283325,0,,,,,1,4,209.99683333890982,227.7998174961554,0.9190996759831113,-124.86709945730969,13.822676519481558,0.0408255307385268,,,0.6693668961524963,pixel_xy_metric_z,True,True,
21,1776985732.4232259,2026-04-23T23:08:52.423226Z,5.002630233764648,0,,,,,0,,,,,,,,,,,,,,
22,1776985732.6985836,2026-04-23T23:08:52.698584Z,5.277987957000732,0,,,,,0,,,,,,,,,,,,,,
23,1776985732.9158452,2026-04-23T23:08:52.915845Z,5.495249509811401,1,359,152,0.8306228518486023,0.871,1,5,357.13084519927315,153.9522903112476,0.8766944847181517,1.3588076971009748,-2.344531998754465,-0.00016225965416291318,,,0.8353773355484009,pixel_xy_metric_z,True,True,
24,1776985733.1044452,2026-04-23T23:08:53.104445Z,5.683849573135376,1,371,128,0.8424167037010193,0.893,1,5,364.4552022375214,139.95028408088672,0.881991598087433,6.910604858632881,-12.87353061295612,0.001356401053991003,,,0.8424167037010193,pixel_xy_metric_z,True,True,
25,1776985733.3061469,2026-04-23T23:08:53.306147Z,5.88555121421814,1,317,149,0.6799365878105164,0.906,1,5,347.90631460311266,141.68036086171617,0.8926336979499312,-21.493630612857118,-5.3763874722806095,0.007890600314465313,,,0.6799365878105164,pixel_xy_metric_z,True,True,
26,1776985733.5022352,2026-04-23T23:08:53.502235Z,6.081639528274536,1,305,176,0.6639872193336487,0.928,1,5,322.7044003989582,150.5767854911159,0.9065787531721324,-45.02853845375185,28.0866553828075,0.009895118653704814,,,0.6639872193336487,pixel_xy_metric_z,True,True,
27,1776985733.698487,2026-04-23T23:08:53.698487Z,6.277891397476196,1,289,218,0.7470637559890747,0.948,1,5,294.8310852925575,192.6120404578223,0.9324194505060379,-68.55682107808533,118.93068052112568,0.02002848954425939,,,0.7470637559890747,pixel_xy_metric_z,True,True,
28,1776985733.9144564,2026-04-23T23:08:53.914456Z,6.493860721588135,1,300,250,0.7766863107681274,0.97,1,5,292.22965281330266,233.13666222663943,0.9517847950769761,-18.049228718846418,154.49987852055276,0.02774740530594344,,,0.7766863107681274,pixel_xy_metric_z,True,True,
29,1776985734.0977979,2026-04-23T23:08:54.097798Z,6.677202224731445,1,319,250,0.7874149084091187,0.997,1,5,308.27513408230453,257.84831057247,0.9831313981779691,29.44947823656009,96.46722653872678,0.0392690722322089,,,0.757571280002594,pixel_xy_metric_z,True,True,
30,1776985734.312291,2026-04-23T23:08:54.312291Z,6.891695261001587,1,331,217,0.5944066643714905,1.012,1,5,316.680370377111,248.69767392123737,1.0027647030113727,12.155415348641743,42.12776192238672,0.04520794788813187,,,0.5944066643714905,pixel_xy_metric_z,True,True,
31,1776985734.5068212,2026-04-23T23:08:54.506821Z,7.086225509643555,1,325,208,0.7634920477867126,1.051,1,5,320.3157218715635,232.16945735538116,1.0338159388303618,-5.901884860894869,12.07933971203746,0.05171987990428828,,,0.7634920477867126,pixel_xy_metric_z,True,True,
32,1776985734.7123723,2026-04-23T23:08:54.712372Z,7.291776657104492,1,325,209,0.7186967134475708,1.056,1,5,318.9519489904136,222.07842807865399,1.0533617395635222,-23.02262759134498,7.3312747369521905,0.05456535606475307,,,0.6515219211578369,pixel_xy_metric_z,True,True,
33,1776985734.9002433,2026-04-23T23:08:54.900243Z,7.479647636413574,0,,,,,1,5,317.2207976598717,236.74161515259993,1.0717910180751573,-2.0353133291691377,29.513858162621432,0.09134831756332182,,,0.5606568455696106,pixel_xy_metric_z,True,True,
34,1776985735.1076028,2026-04-23T23:08:55.107603Z,7.687007188796997,1,344,223,0.6690897941589355,1.06,1,5,342.4748160056804,221.13375256581426,1.1483807565567248,20.13136154059682,-4.393718816127791,0.12117339395365469,,,0.6690897941589355,pixel_xy_metric_z,True,True,
35,1776985735.313623,2026-04-23T23:08:55.313623Z,7.893027305603027,1,374,224,0.7601293325424194,1.052,1,5,358.7675199923449,222.94706646193876,1.1622676883006338,29.21132084974714,-0.883499403845418,0.11419988096324046,,,0.7876827120780945,pixel_xy_metric_z,True,True,
36,1776985735.5776346,2026-04-23T23:08:55.577635Z,8.157038927078247,1,390,226,0.770307719707489,1.06,1,5,379.1434265955461,229.77643761840446,1.076297940507981,70.35180312346293,-4.237118786755174,0.0314051281395716,,,0.770307719707489,pixel_xy_metric_z,True,True,
